											
----- General Data -----											
Measurement	Type: EndPoint, Time: 06/11/2020 / 11:08:14, State: Valid Measurement										
Template	Template loaded during measurement time : c:\programdata\...\luminescence\lumi_1s.par; Modified template adjustments										
Files	Data file : DOX_HCT_6-11_assay3.dat - 06/11/2020 / 11:09:32 - Operator was Unknown User - Created with Version 5.17										
	Template file : C:\ProgramData\...\Lumi_1s.par - 04/07/2013 / 08:57:06 - Created by Unknown User - Created with Version 5.16.01										
Reader	BertholdTech TriStar, Driver Version: 1.07, (1.0.7.0), S/N: 25-1047, Embedded Version: 1.04										
	Plate Type: Berthold 96 - No:23300/23302										
	Name .....................  Measurement										
	Counting Time [s] ........  1.00                Measurement Mode .........  by Well										
	Emission Filter ..........  No Filter										
	Second Measurement .......  No										
Calculation	Calculation Status : Valid Assay, Calculation Time : 06/11/2020 / 11:09:32										
Program	MikroWin, Version 5.17; License No. : 115317										
	Assembly Code A : 0006 0000 0000 0000 0000 FFFF										
	Assembly Code B : 00E6 F715 C08F FC45 2DC0 B7AF										
System	Operating System Name : Windows 7 Professional Service Pack 1, 64-bit, System User : commun										
Printer	Printer Name : \\fuji\fax-rdc										
											
----- Threshold Statistics -----											
Group	Assay	Set	Threshold Limits								
Group 1	Default	1	+oo > Overload >= 2,1475E9 > #Value >=    0,0000 > _ > -oo								
											
											
											
06/11/2020	11:08:14										
0	0	0	0	0	0	0	0	0	0	0	0
0	386097	386128	369069	374286	357440	234620	151231	52643	2969	16735	0
0	357686	373542	334610	419559	310766	231588	141708	57559	3863	12373	0
0	312658	365467	373391	391868	342194	233156	155419	50814	3174	12381	0
0	353933	382851	352516	400386	327272	238420	193630	61461	3950	23598	0
0	360955	356554	346555	314424	349247	260031	205623	58160	5423	22965	0
0	327121	306056	372402	310996	267053	271051	200399	57274	3143	19854	0
0	0	0	0	0	0	0	0	0	0	0	0
