id	filename	md5	size	state
a756f9d3-0ab4-428d-a952-58b35e037ae1	TCGA-PRAD.0d1c2ae5-4823-42c3-a1fc-a730050f8952.gene_level_copy_number.tsv	e739d1aead3e4cee8bc2d167e456f44c	3482269	released
e8ccabc0-d719-448f-b7e6-432c0b0855a8	TCGA-UCEC.7a272f6f-49f6-42e9-9277-f677471defe1.gene_level_copy_number.tsv	38566de688812e110b0c04dcbf0e5b81	3482269	released
68c2a655-e712-4d8d-ad27-e600e43681f6	TCGA-UCEC.ee8de32e-390b-4068-bbbc-e3d2a11f3c48.gene_level_copy_number.tsv	5ea74aa6e3541708861db5ba196f35e0	3482272	released
8fcd045b-7f6b-4d0c-86b0-062e17ce8a1b	TCGA-SARC.e1fa1873-2679-4815-acf6-f74dfe35cc47.gene_level_copy_number.tsv	a9c80824d7eacf38b701296aa7b25623	3482320	released
c4e3e8df-d725-4f43-82e5-8af6df01051d	TCGA-LGG.0777a7ee-bd82-40af-b506-e6bdcb769ca8.gene_level_copy_number.tsv	04250aa8f7bf26d4d8f6c8d91e6227ac	3482240	released
45983c12-6be5-4db9-9ccd-a2b66f1cd397	TCGA-LGG.d94776ff-6d19-47c3-a576-03c843d1128a.gene_level_copy_number.tsv	79827b9c1d40d0ee27732a796fced400	3482805	released
d8b18636-6007-48b9-8aba-073a6822b50b	TCGA-LGG.6ee9a089-47f6-4118-b520-2bc12709f1f1.gene_level_copy_number.tsv	ed804eb3f3b090228ec18d82a0928a11	3482275	released
b5d807e0-2ba2-4190-b332-a095848da475	TCGA-UCEC.eeed3e03-dc6e-4038-8a86-f17e42271798.gene_level_copy_number.tsv	a4d6f176f892f3682a47c0a355c35bfb	3482107	released
4e699f73-f00c-44c5-8a66-bd9a96896e94	TCGA-LGG.b334225d-e040-4355-b842-d0d08eb501b0.gene_level_copy_number.tsv	ea59b1fe4c5b794a517f5d21f40fe226	3482588	released
d23265d5-940d-40ec-ae77-66dfd248d77a	TCGA-GBM.40e9e487-2885-4734-a001-f13bf3e7078c.gene_level_copy_number.tsv	18f88c78219be70933b77f96bcbdc95a	3482263	released
33b1ca79-f110-43f4-b5b0-08f4f44b0fef	TCGA-OV.ea12bb70-f529-4ed7-bcd1-690045a5ef99.gene_level_copy_number.tsv	1ebdc469284d0ad8b6b802e1d427c54e	3482123	released
